"id","district","popmale2560","popfemale2560","popdead2560","popmale2561","popfemale2561","popdead2561","perthousand","increase","adddate","updatedate"
"51","รวม","24252","19119","43371","24643","19540","44183","7.783290421","0.018722188","2020-11-18","2020-11-18"
"50","สัมพันธวงศ์","508","397","905","580","407","987","12.08241012","0.090607735","2020-11-18","2020-11-18"
"49","พระนคร","573","474","1047","675","563","1238","11.83816709","0.182425979","2020-11-18","2020-11-18"
"48","ยานนาวา","427","293","720","442","316","758","4.381756171","0.052777778","2020-11-18","2020-11-18"
"47","บางกอกใหญ่","349","246","595","371","244","615","3.93557181","0.033613445","2020-11-18","2020-11-18"
"46","พระโขนง","1188","955","2143","1244","976","2220","10.85404729","0.035930938","2020-11-18","2020-11-18"
"45","บางบอน","207","216","423","188","184","372","4.717220391","-0.120567376","2020-11-18","2020-11-18"
"44","สะพานสูง","20","21","41","22","16","38","1.606425703","-0.073170732","2020-11-18","2020-11-18"
"43","ดอนเมือง","152","103","255","147","118","265","2.765140448","0.039215686","2020-11-18","2020-11-18"
"42","ทุ่งครุ","776","568","1344","662","489","1151","9.35574594","-0.14360119","2020-11-18","2020-11-18"
"41","ทวีวัฒนา","352","261","613","367","296","663","7.741528689","0.081566069","2020-11-18","2020-11-18"
"40","ดินแดง","291","198","489","280","222","502","4.510616121","0.026584867","2020-11-18","2020-11-18"
"39","ตลิ่งชัน","306","195","501","287","177","464","3.876066127","-0.073852295","2020-11-18","2020-11-18"
"38","คลองสามวา","389","214","603","425","233","658","3.74583006","0.091210614","2020-11-18","2020-11-18"
"37","บึงกุ่ม","559","413","972","623","465","1088","13.29975796","0.119341564","2020-11-18","2020-11-18"
"36","สาทร","2459","2131","4590","2401","2045","4446","61.79119413","-0.031372549","2020-11-18","2020-11-18"
"35","วังทองหลาง","111","67","178","105","55","160","2.050467122","-0.101123596","2020-11-18","2020-11-18"
"34","บางเขน","662","511","1173","734","495","1229","8.636015487","0.047740835","2020-11-18","2020-11-18"
"33","ลาดพร้าว","624","550","1174","667","539","1206","9.5728721","0.02725724","2020-11-18","2020-11-18"
"32","บางพลัด","64","35","99","55","41","96","1.90544242","-0.03030303","2020-11-18","2020-11-18"
"31","หนองแขม","142","82","224","141","121","262","2.936001883","0.169642857","2020-11-18","2020-11-18"
"30","บางซื่อ","351","287","638","329","295","624","8.871070926","-0.021943574","2020-11-18","2020-11-18"
"29","ลาดกระบัง","535","404","939","618","469","1087","23.78503753","0.157614483","2020-11-18","2020-11-18"
"28","หนองจอก","679","511","1190","739","560","1299","7.285882551","0.091596639","2020-11-18","2020-11-18"
"27","บางกะปิ","1118","876","1994","1157","954","2111","43.63192923","0.058676028","2020-11-18","2020-11-18"
"26","บางนา","217","147","364","193","156","349","2.440730121","-0.041208791","2020-11-18","2020-11-18"
"25","วัฒนา","699","604","1303","584","479","1063","22.05073952","-0.18419033","2020-11-18","2020-11-18"
"24","จตุจักร","288","218","506","181","152","333","3.648195622","-0.341897233","2020-11-18","2020-11-18"
"23","คลองเตย","204","94","298","207","121","328","3.067742871","0.100671141","2020-11-18","2020-11-18"
"22","พญาไท","413","293","706","410","288","698","7.742822913","-0.011331445","2020-11-18","2020-11-18"
"21","บางขุนเทียน","339","228","567","344","286","630","5.027973088","0.111111111","2020-11-18","2020-11-18"
"20","จอมทอง","591","438","1029","618","495","1113","12.60646974","0.081632653","2020-11-18","2020-11-18"
"19","หลักสี่","547","366","913","568","387","955","5.193661014","0.046002191","2020-11-18","2020-11-18"
"18","ราษฎร์บูรณะ","336","282","618","306","264","570","3.881749648","-0.077669903","2020-11-18","2020-11-18"
"17","ห้วยขวาง","1633","1531","3164","1693","1642","3335","30.2036824","0.054045512","2020-11-18","2020-11-18"
"16","ป้อมปราบศัตรูพ่าย","97","78","175","100","70","170","2.529347875","-0.028571429","2020-11-18","2020-11-18"
"15","บางคอแหลม","610","482","1092","678","546","1224","6.331634896","0.120879121","2020-11-18","2020-11-18"
"14","มีนบุรี","266","203","469","243","200","443","2.315456061","-0.0554371","2020-11-18","2020-11-18"
"13","บางแค","632","537","1169","626","514","1140","10.57965366","-0.024807528","2020-11-18","2020-11-18"
"12","ประเวศ","146","130","276","153","130","283","2.314057696","0.025362319","2020-11-18","2020-11-18"
"11","คลองสาน","167","116","283","173","110","283","3.609970151","0","2020-11-18","2020-11-18"
"10","ธนบุรี","174","140","314","178","147","325","3.093853228","0.035031847","2020-11-18","2020-11-18"
"9","ภาษีเจริญ","677","598","1275","728","670","1398","14.73844013","0.096470588","2020-11-18","2020-11-18"
"8","สวนหลวง","157","118","275","140","113","253","2.095047242","-0.08","2020-11-18","2020-11-18"
"7","บางรัก","192","131","323","187","140","327","1.931950443","0.012383901","2020-11-18","2020-11-18"
"6","ดุสิต","482","346","828","477","362","839","5.549896146","0.013285024","2020-11-18","2020-11-18"
"5","คันนายาว","380","270","650","430","280","710","4.553529627","0.092307692","2020-11-18","2020-11-18"
"4","สายไหม","853","739","1592","862","675","1537","15.81487236","-0.034547739","2020-11-18","2020-11-18"
"3","ปทุมวัน","228","175","403","245","173","418","2.110908549","0.037220844","2020-11-18","2020-11-18"
"2","บางกอกน้อย","596","485","1081","557","522","1079","14.95060343","-0.001850139","2020-11-18","2020-11-18"
"1","ราชเทวี","486","362","848","503","338","841","8.282205568","-0.008254717","2020-11-18","2020-11-18"